US Election,GE11,GE12,GE13S,GE13,GE14,GE15
5114,14303,24189,9943,9943,442,2125
816,19575,17988,4402,4402,73,203
69,2597,6418,22114,22114,49004,56697
33,19222,20116,15013,15013,23580,26932
6410,4649,6380,31109,31109,15663,3708
1762,19706,19031,22495,22495,102557,291
134,2618,4982,45628,45628,33789,63016
51,0,22682,33075,33075,19766,22109
8017,0,3721,6866,6866,215,10946
2179,32071,0,221,221,60429,481
181,6060,30860,83,83,12794,73115
56,38123,16202,24507,24507,10255,31386
5063,7002,35849,14846,14846,104430,4140
773,54073,18568,48964,48964,12077,427
91,7281,43143,25479,25479,9025,42910
21,42406,17794,43053,43053,173,27176
48056,7480,38036,24696,24696,78984,1740
40478,41001,17587,325,325,21847,182
1711,9335,33630,29848,29848,14448,59720
460,32278,24779,28269,28269,121283,25615
22147,14134,32017,394,394,14380,5307
13225,26667,20273,29390,29390,617,322
719,5509,23121,18228,18228,43631,305
303,28046,8677,27688,27688,16997,65714
14337,4431,23302,11488,11488,16681,38535
3349,10579,10931,32594,32594,642,8340
257,7867,17634,20997,20997,55949,506
61,12590,7739,39468,39468,22100,16120
3603,2030,12028,23835,23835,15194,11576
916,18236,7830,49521,49521,47731,5569
98,5420,1109,28775,28775,31425,17672
33,17914,457,33736,33736,26412,11554
14950,15873,17842,21973,21973,525,6366
5611,21155,14822,20037,20037,98279,263
461,13424,17645,18820,18820,19506,17672
79,0,11023,19934,19934,9169,11554
18837,15368,879,16927,16927,120,6366
5461,6270,16884,15821,15821,90697,263
326,13960,5423,15468,15468,19555,21613
104,4265,3709,26274,26274,17874,17256
29127,10767,9464,13432,13432,43239,16939
10272,1035,9358,30619,30619,26127,427
630,0,8420,28652,28652,18731,31701
132,9679,341,31118,31118,46740,23609
3671,5311,13737,26051,26051,28035,11444
770,6962,7292,20867,20867,15882,41692
44,4927,918,19221,19221,56516,33293
13,11618,13400,30258,30258,4888,16530
2412,1895,10337,18505,18505,38125,1864
401,11995,696,22045,22045,13687,25514
38,4450,404,14735,14735,10610,22648
10,15485,15352,22453,22453,383,19114
37025,3886,5778,16692,16692,42178,486
18770,1667,2268,38667,38667,17940,26899
1028,864,429,36935,36935,13490,25582
319,15485,10242,19754,19754,53124,9192
5771,3886,4789,14048,14048,7422,310
1104,1667,1615,19754,19754,4181,47418
124,864,205,14048,14048,34471,38469
30,8388,14780,40574,40574,20099,6316
3100,5700,3866,33215,33215,6282,472
910,6438,11905,22841,22841,23840,366
57,4381,5759,12210,12210,19701,19600
5,14895,14074,26184,26184,6845,17779
34827,10174,6823,10437,10437,44516,3547
10863,20501,619,25698,25698,7256,166
804,17161,14598,8502,8502,636,22505
166,11829,10334,30373,30373,33313,21481
2667,2651,560,5799,5799,27715,3593
648,7876,9535,26992,26992,5277,174
36,4260,2652,4484,4484,63094,30929
21,0,2499,795,795,7035,25409
64682,6949,485,39985,39985,56671,25191
58224,3283,0,38218,38218,7006,1108
2287,20225,7090,43834,43834,41126,25075
685,8958,1271,42899,42899,21196,24383
7518,2583,571,44285,44285,7884,16233
3001,0,0,34151,34151,12148,798
213,7551,0,43751,43751,8776,168
92,13236,13668,40525,40525,3634,31762
26886,6488,6139,54284,54284,19062,15067
11726,2375,9479,39522,39522,17017,12719
796,1282,5771,43338,43338,2878,31589
165,10457,8297,29888,29888,26819,30151
6224,7268,8121,238,238,25188,4779
2162,19185,2929,27804,27804,5267,408
234,8956,8507,14077,14077,55503,17973
46,1586,2181,25038,25038,24809,12917
8480,17722,1515,19581,19581,11506,9627
2230,8555,19419,21883,21883,18045,460
176,16426,1957,9507,9507,17845,19791
46,5201,13943,3083,3083,4347,17070
3348,16047,9076,963,963,61806,13984
668,5187,3278,15168,15168,14939,225
67,3511,0,14326,14326,8260,46823
22,13816,,2228,2228,302,45261
6646,5984,,444,444,36096,27050
1294,16032,,21768,21768,31732,1849
114,3325,,16673,16673,6028,1013
41,960,,2709,2709,36225,446
2997,927,,979,979,18515,18054
783,0,,185,185,6594,15874
77,9655,,20685,20685,22435,12314
23,4547,,15495,15495,21433,3557
3763,0,,2264,2264,4598,1406
930,0,,1509,1509,22898,31033
93,7547,,22845,22845,14739,30031
30,6160,,13403,13403,4688,23639
5768,3310,,4070,4070,29330,1778
1141,1609,,1931,1931,22350,72773
170,0,,28516,28516,6135,49154
34,8032,,9557,9557,32420,19425
5773,5628,,909,909,27761,2584
1046,5880,,17465,17465,8961,945
118,5272,,7958,7958,39067,72267
34,557,,2604,2604,30427,59538
7880,0,,1068,1068,7089,30723
2281,13140,,22598,22598,76518,2223
118,2471,,12382,12382,27343,675
30,0,,1119,1119,1415,56754
37136,9538,,21196,21196,26560,27073
14957,8208,,10661,10661,26341,11509
926,543,,838,838,8860,4589
351,0,,13754,13754,24060,2653
6192,13970,,8031,8031,18584,1423
1537,1704,,650,650,2676,188
112,1162,,240,240,19559,148
29,764,,12827,12827,18278,93
2539,676,,12154,12154,16709,74002
631,0,,409,409,13301,25706
42,0,,16377,16377,2020,11664
8,,,6908,6908,23558,3323
84582,,,505,505,16631,961
53519,,,15434,15434,2483,58382
2855,,,11823,11823,34706,43486
668,,,2559,2559,26040,32570
3537,,,914,914,4668,1655
821,,,15818,15818,38718,370
53,,,11900,11900,15507,326
15,,,7825,7825,7575,141568
3139,,,9771,9771,22341,71867
602,,,5885,5885,15388,25685
