US Election,GE11,GE12,GE13S,GE13,GE14,GE15
8364,,,,,,
882,,,,,,
342,,,,,,
288,,,,,,
271,,,,,,
13066,,,,,,
11290,,,,,,
587,,,,,,
205,,,,,,
153,,,,,,
21293,,,,,,
7058,,,,,,
1383,,,,,,
662,,,,,,
253,,,,,,
10290,,,,,,
2190,,,,,,
1482,,,,,,
509,,,,,,
367,,,,,,
208514,,,,,,
52524,,,,,,
10798,,,,,,
5355,,,,,,
4307,,,,,,
11472,,,,,,
4911,,,,,,
509,,,,,,
202,,,,,,
199,,,,,,
61125,,,,,,
16698,,,,,,
4432,,,,,,
3087,,,,,,
2520,,,,,,
1115,,,,,,
321,,,,,,
55,,,,,,
46,,,,,,
44,,,,,,
68804,,,,,,
32976,,,,,,
3927,,,,,,
1900,,,,,,
960,,,,,,
342,,,,,,
211,,,,,,
7,,,,,,
6,,,,,,
4,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
207,,,,,,
60,,,,,,
10,,,,,,
6,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
2663,,,,,,
903,,,,,,
19,,,,,,
18,,,,,,
14,,,,,,
9,,,,,,
4,,,,,,
4,,,,,,
1,,,,,,
1066,,,,,,
451,,,,,,
15,,,,,,
9,,,,,,
8,,,,,,
6,,,,,,
5,,,,,,
5,,,,,,
4,,,,,,
241,,,,,,
77,,,,,,
5,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
99,,,,,,
36,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
402,,,,,,
104,,,,,,
8,,,,,,
7,,,,,,
7,,,,,,
4,,,,,,
4,,,,,,
3,,,,,,
1,,,,,,
39,,,,,,
9,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
573,,,,,,
350,,,,,,
11,,,,,,
4,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
752,,,,,,
313,,,,,,
20,,,,,,
13,,,,,,
6,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
769,,,,,,
254,,,,,,
14,,,,,,
10,,,,,,
8,,,,,,
8,,,,,,
7,,,,,,
7,,,,,,
1,,,,,,
330,,,,,,
102,,,,,,
23,,,,,,
5,,,,,,
5,,,,,,
5,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
865,,,,,,
296,,,,,,
17,,,,,,
15,,,,,,
6,,,,,,
5,,,,,,
5,,,,,,
3,,,,,,
2,,,,,,
451,,,,,,
110,,,,,,
18,,,,,,
12,,,,,,
9,,,,,,
6,,,,,,
6,,,,,,
5,,,,,,
2,,,,,,
1865,,,,,,
422,,,,,,
31,,,,,,
30,,,,,,
20,,,,,,
11,,,,,,
11,,,,,,
10,,,,,,
5,,,,,,
121,,,,,,
12,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
1809,,,,,,
787,,,,,,
51,,,,,,
38,,,,,,
22,,,,,,
8,,,,,,
4,,,,,,
4,,,,,,
1,,,,,,
368,,,,,,
255,,,,,,
11,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
641,,,,,,
287,,,,,,
12,,,,,,
6,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
577,,,,,,
176,,,,,,
9,,,,,,
7,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
2545,,,,,,
1625,,,,,,
37,,,,,,
18,,,,,,
12,,,,,,
9,,,,,,
9,,,,,,
9,,,,,,
8,,,,,,
2799,,,,,,
829,,,,,,
45,,,,,,
37,,,,,,
15,,,,,,
14,,,,,,
13,,,,,,
12,,,,,,
8,,,,,,
819,,,,,,
397,,,,,,
7,,,,,,
5,,,,,,
5,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
367,,,,,,
160,,,,,,
8,,,,,,
6,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
4877,,,,,,
1010,,,,,,
58,,,,,,
42,,,,,,
35,,,,,,
28,,,,,,
19,,,,,,
13,,,,,,
11,,,,,,
1010,,,,,,
358,,,,,,
8,,,,,,
6,,,,,,
5,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
457,,,,,,
244,,,,,,
17,,,,,,
12,,,,,,
6,,,,,,
5,,,,,,
4,,,,,,
1,,,,,,
1,,,,,,
2724,,,,,,
2264,,,,,,
42,,,,,,
26,,,,,,
17,,,,,,
15,,,,,,
13,,,,,,
8,,,,,,
6,,,,,,
831,,,,,,
338,,,,,,
8,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
335,,,,,,
41,,,,,,
7,,,,,,
4,,,,,,
2,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
2265,,,,,,
790,,,,,,
35,,,,,,
31,,,,,,
29,,,,,,
12,,,,,,
7,,,,,,
7,,,,,,
6,,,,,,
584,,,,,,
206,,,,,,
17,,,,,,
9,,,,,,
5,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
3997,,,,,,
590,,,,,,
68,,,,,,
30,,,,,,
26,,,,,,
20,,,,,,
13,,,,,,
8,,,,,,
5,,,,,,
83,,,,,,
21,,,,,,
5,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
259,,,,,,
55,,,,,,
8,,,,,,
5,,,,,,
5,,,,,,
4,,,,,,
3,,,,,,
1,,,,,,
0,,,,,,
891,,,,,,
249,,,,,,
20,,,,,,
14,,,,,,
6,,,,,,
5,,,,,,
5,,,,,,
4,,,,,,
1,,,,,,
581,,,,,,
471,,,,,,
26,,,,,,
13,,,,,,
9,,,,,,
5,,,,,,
5,,,,,,
4,,,,,,
3,,,,,,
901,,,,,,
232,,,,,,
11,,,,,,
8,,,,,,
5,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
1309,,,,,,
379,,,,,,
38,,,,,,
27,,,,,,
19,,,,,,
15,,,,,,
11,,,,,,
4,,,,,,
3,,,,,,
611,,,,,,
118,,,,,,
18,,,,,,
6,,,,,,
5,,,,,,
4,,,,,,
4,,,,,,
1,,,,,,
1,,,,,,
1891,,,,,,
474,,,,,,
22,,,,,,
19,,,,,,
12,,,,,,
11,,,,,,
10,,,,,,
5,,,,,,
4,,,,,,
556,,,,,,
135,,,,,,
6,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
83,,,,,,
18,,,,,,
4,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
931,,,,,,
257,,,,,,
23,,,,,,
23,,,,,,
12,,,,,,
11,,,,,,
7,,,,,,
5,,,,,,
1,,,,,,
1307,,,,,,
1143,,,,,,
9,,,,,,
9,,,,,,
8,,,,,,
7,,,,,,
4,,,,,,
2,,,,,,
1,,,,,,
499,,,,,,
74,,,,,,
17,,,,,,
7,,,,,,
6,,,,,,
4,,,,,,
3,,,,,,
2,,,,,,
0,,,,,,
593,,,,,,
111,,,,,,
12,,,,,,
10,,,,,,
5,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
1,,,,,,
307,,,,,,
96,,,,,,
4,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
571,,,,,,
270,,,,,,
25,,,,,,
6,,,,,,
3,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
365,,,,,,
131,,,,,,
5,,,,,,
4,,,,,,
4,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
168,,,,,,
116,,,,,,
5,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
223,,,,,,
94,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
1304,,,,,,
297,,,,,,
29,,,,,,
27,,,,,,
27,,,,,,
13,,,,,,
8,,,,,,
4,,,,,,
2,,,,,,
443,,,,,,
341,,,,,,
7,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
3,,,,,,
0,,,,,,
0,,,,,,
139,,,,,,
28,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
271,,,,,,
88,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
469,,,,,,
188,,,,,,
4,,,,,,
4,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
1181,,,,,,
360,,,,,,
30,,,,,,
16,,,,,,
15,,,,,,
13,,,,,,
7,,,,,,
4,,,,,,
3,,,,,,
999,,,,,,
457,,,,,,
209,,,,,,
32,,,,,,
22,,,,,,
7,,,,,,
7,,,,,,
7,,,,,,
2,,,,,,
732,,,,,,
178,,,,,,
10,,,,,,
10,,,,,,
5,,,,,,
5,,,,,,
4,,,,,,
4,,,,,,
2,,,,,,
805,,,,,,
592,,,,,,
53,,,,,,
13,,,,,,
9,,,,,,
5,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
1866,,,,,,
628,,,,,,
19,,,,,,
17,,,,,,
15,,,,,,
13,,,,,,
11,,,,,,
8,,,,,,
6,,,,,,
308,,,,,,
123,,,,,,
3,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
249,,,,,,
123,,,,,,
27,,,,,,
7,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
674,,,,,,
172,,,,,,
22,,,,,,
20,,,,,,
13,,,,,,
10,,,,,,
7,,,,,,
5,,,,,,
3,,,,,,
3785,,,,,,
2157,,,,,,
628,,,,,,
134,,,,,,
89,,,,,,
29,,,,,,
28,,,,,,
24,,,,,,
23,,,,,,
1979,,,,,,
895,,,,,,
11,,,,,,
9,,,,,,
7,,,,,,
7,,,,,,
5,,,,,,
4,,,,,,
1,,,,,,
189,,,,,,
165,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
457,,,,,,
239,,,,,,
8,,,,,,
6,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
0,,,,,,
1510,,,,,,
805,,,,,,
64,,,,,,
34,,,,,,
20,,,,,,
10,,,,,,
9,,,,,,
8,,,,,,
6,,,,,,
308,,,,,,
107,,,,,,
7,,,,,,
4,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
1016,,,,,,
371,,,,,,
27,,,,,,
16,,,,,,
10,,,,,,
8,,,,,,
5,,,,,,
5,,,,,,
4,,,,,,
266,,,,,,
136,,,,,,
11,,,,,,
8,,,,,,
6,,,,,,
3,,,,,,
2,,,,,,
0,,,,,,
0,,,,,,
5668,,,,,,
1778,,,,,,
116,,,,,,
108,,,,,,
62,,,,,,
55,,,,,,
31,,,,,,
27,,,,,,
26,,,,,,
1970,,,,,,
407,,,,,,
31,,,,,,
17,,,,,,
11,,,,,,
7,,,,,,
7,,,,,,
7,,,,,,
5,,,,,,
492,,,,,,
109,,,,,,
13,,,,,,
8,,,,,,
5,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
414,,,,,,
99,,,,,,
26,,,,,,
16,,,,,,
8,,,,,,
7,,,,,,
5,,,,,,
2,,,,,,
2,,,,,,
2144,,,,,,
713,,,,,,
66,,,,,,
43,,,,,,
18,,,,,,
11,,,,,,
10,,,,,,
7,,,,,,
7,,,,,,
3028,,,,,,
579,,,,,,
62,,,,,,
33,,,,,,
30,,,,,,
25,,,,,,
10,,,,,,
7,,,,,,
4,,,,,,
322,,,,,,
112,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
2312,,,,,,
837,,,,,,
55,,,,,,
38,,,,,,
33,,,,,,
21,,,,,,
19,,,,,,
19,,,,,,
16,,,,,,
502,,,,,,
158,,,,,,
4,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
136,,,,,,
84,,,,,,
13,,,,,,
11,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
47,,,,,,
14,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
1336,,,,,,
648,,,,,,
144,,,,,,
33,,,,,,
12,,,,,,
8,,,,,,
7,,,,,,
6,,,,,,
2,,,,,,
589,,,,,,
272,,,,,,
12,,,,,,
7,,,,,,
6,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
256,,,,,,
82,,,,,,
13,,,,,,
7,,,,,,
5,,,,,,
4,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
549,,,,,,
107,,,,,,
13,,,,,,
10,,,,,,
9,,,,,,
7,,,,,,
6,,,,,,
4,,,,,,
2,,,,,,
3802,,,,,,
1482,,,,,,
26,,,,,,
10,,,,,,
10,,,,,,
9,,,,,,
7,,,,,,
6,,,,,,
6,,,,,,
819,,,,,,
113,,,,,,
25,,,,,,
10,,,,,,
8,,,,,,
8,,,,,,
5,,,,,,
5,,,,,,
0,,,,,,
578,,,,,,
217,,,,,,
12,,,,,,
4,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
527,,,,,,
185,,,,,,
10,,,,,,
6,,,,,,
5,,,,,,
3,,,,,,
2,,,,,,
0,,,,,,
0,,,,,,
464,,,,,,
181,,,,,,
14,,,,,,
6,,,,,,
5,,,,,,
4,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
8480,,,,,,
3775,,,,,,
61,,,,,,
41,,,,,,
40,,,,,,
38,,,,,,
34,,,,,,
23,,,,,,
15,,,,,,
1015,,,,,,
264,,,,,,
8,,,,,,
7,,,,,,
4,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
3032,,,,,,
1082,,,,,,
91,,,,,,
82,,,,,,
33,,,,,,
25,,,,,,
21,,,,,,
20,,,,,,
19,,,,,,
329,,,,,,
102,,,,,,
55,,,,,,
9,,,,,,
6,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
70,,,,,,
39,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
1176,,,,,,
316,,,,,,
13,,,,,,
8,,,,,,
7,,,,,,
5,,,,,,
5,,,,,,
4,,,,,,
2,,,,,,
698,,,,,,
289,,,,,,
11,,,,,,
6,,,,,,
4,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
340,,,,,,
120,,,,,,
4,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
2454,,,,,,
875,,,,,,
17,,,,,,
8,,,,,,
8,,,,,,
8,,,,,,
7,,,,,,
7,,,,,,
4,,,,,,
444,,,,,,
331,,,,,,
9,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
135,,,,,,
54,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
279,,,,,,
99,,,,,,
4,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
423,,,,,,
159,,,,,,
39,,,,,,
14,,,,,,
4,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
392,,,,,,
99,,,,,,
8,,,,,,
7,,,,,,
7,,,,,,
4,,,,,,
4,,,,,,
0,,,,,,
0,,,,,,
2609,,,,,,
426,,,,,,
57,,,,,,
32,,,,,,
29,,,,,,
19,,,,,,
14,,,,,,
9,,,,,,
7,,,,,,
1155,,,,,,
683,,,,,,
12,,,,,,
11,,,,,,
10,,,,,,
7,,,,,,
4,,,,,,
4,,,,,,
2,,,,,,
772,,,,,,
316,,,,,,
14,,,,,,
9,,,,,,
8,,,,,,
6,,,,,,
4,,,,,,
3,,,,,,
0,,,,,,
680,,,,,,
145,,,,,,
8,,,,,,
7,,,,,,
7,,,,,,
7,,,,,,
5,,,,,,
2,,,,,,
1,,,,,,
242,,,,,,
81,,,,,,
5,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
494,,,,,,
105,,,,,,
17,,,,,,
7,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
417,,,,,,
284,,,,,,
23,,,,,,
8,,,,,,
7,,,,,,
4,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
574,,,,,,
144,,,,,,
27,,,,,,
17,,,,,,
10,,,,,,
7,,,,,,
3,,,,,,
1,,,,,,
0,,,,,,
606,,,,,,
225,,,,,,
10,,,,,,
5,,,,,,
5,,,,,,
4,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
1538,,,,,,
643,,,,,,
7,,,,,,
6,,,,,,
5,,,,,,
5,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1034,,,,,,
420,,,,,,
13,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
1,,,,,,
0,,,,,,
890,,,,,,
277,,,,,,
27,,,,,,
19,,,,,,
11,,,,,,
10,,,,,,
8,,,,,,
4,,,,,,
2,,,,,,
249,,,,,,
155,,,,,,
8,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
47,,,,,,
5,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
92,,,,,,
29,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
816,,,,,,
388,,,,,,
9,,,,,,
7,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
395,,,,,,
158,,,,,,
8,,,,,,
6,,,,,,
4,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
907,,,,,,
301,,,,,,
24,,,,,,
16,,,,,,
9,,,,,,
8,,,,,,
6,,,,,,
5,,,,,,
3,,,,,,
236,,,,,,
85,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
324,,,,,,
145,,,,,,
7,,,,,,
6,,,,,,
4,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
761,,,,,,
458,,,,,,
16,,,,,,
5,,,,,,
4,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
458,,,,,,
108,,,,,,
10,,,,,,
10,,,,,,
6,,,,,,
5,,,,,,
3,,,,,,
1,,,,,,
0,,,,,,
2453,,,,,,
937,,,,,,
23,,,,,,
15,,,,,,
13,,,,,,
8,,,,,,
8,,,,,,
6,,,,,,
6,,,,,,
635,,,,,,
142,,,,,,
15,,,,,,
9,,,,,,
7,,,,,,
5,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
347,,,,,,
75,,,,,,
10,,,,,,
6,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
553,,,,,,
209,,,,,,
7,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
1334,,,,,,
361,,,,,,
40,,,,,,
23,,,,,,
7,,,,,,
6,,,,,,
5,,,,,,
5,,,,,,
5,,,,,,
544,,,,,,
136,,,,,,
21,,,,,,
7,,,,,,
5,,,,,,
5,,,,,,
4,,,,,,
4,,,,,,
0,,,,,,
239,,,,,,
100,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
0,,,,,,
248,,,,,,
75,,,,,,
6,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
1068,,,,,,
325,,,,,,
7,,,,,,
6,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
104,,,,,,
25,,,,,,
15,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
878,,,,,,
779,,,,,,
50,,,,,,
19,,,,,,
12,,,,,,
12,,,,,,
8,,,,,,
7,,,,,,
5,,,,,,
172,,,,,,
48,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
316,,,,,,
126,,,,,,
5,,,,,,
5,,,,,,
2,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
883,,,,,,
178,,,,,,
34,,,,,,
21,,,,,,
14,,,,,,
9,,,,,,
6,,,,,,
6,,,,,,
3,,,,,,
1045,,,,,,
371,,,,,,
24,,,,,,
7,,,,,,
7,,,,,,
6,,,,,,
5,,,,,,
5,,,,,,
4,,,,,,
588,,,,,,
222,,,,,,
7,,,,,,
6,,,,,,
6,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
380,,,,,,
221,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
301,,,,,,
112,,,,,,
16,,,,,,
7,,,,,,
4,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
145,,,,,,
43,,,,,,
20,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
484,,,,,,
190,,,,,,
39,,,,,,
14,,,,,,
12,,,,,,
4,,,,,,
4,,,,,,
1,,,,,,
0,,,,,,
1526,,,,,,
231,,,,,,
35,,,,,,
16,,,,,,
12,,,,,,
12,,,,,,
9,,,,,,
7,,,,,,
3,,,,,,
5158,,,,,,
1552,,,,,,
32,,,,,,
21,,,,,,
19,,,,,,
14,,,,,,
12,,,,,,
12,,,,,,
9,,,,,,
694,,,,,,
381,,,,,,
23,,,,,,
12,,,,,,
7,,,,,,
7,,,,,,
4,,,,,,
4,,,,,,
2,,,,,,
192,,,,,,
69,,,,,,
7,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
1225,,,,,,
525,,,,,,
32,,,,,,
27,,,,,,
13,,,,,,
11,,,,,,
9,,,,,,
9,,,,,,
8,,,,,,
525,,,,,,
157,,,,,,
9,,,,,,
8,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
447,,,,,,
189,,,,,,
9,,,,,,
8,,,,,,
6,,,,,,
4,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
1947,,,,,,
1575,,,,,,
27,,,,,,
18,,,,,,
16,,,,,,
16,,,,,,
10,,,,,,
7,,,,,,
7,,,,,,
662,,,,,,
224,,,,,,
13,,,,,,
7,,,,,,
5,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
396,,,,,,
159,,,,,,
12,,,,,,
10,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
1,,,,,,
0,,,,,,
110,,,,,,
51,,,,,,
22,,,,,,
5,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
1446,,,,,,
582,,,,,,
17,,,,,,
11,,,,,,
10,,,,,,
10,,,,,,
7,,,,,,
4,,,,,,
0,,,,,,
362,,,,,,
239,,,,,,
9,,,,,,
6,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
1544,,,,,,
507,,,,,,
46,,,,,,
25,,,,,,
22,,,,,,
12,,,,,,
7,,,,,,
5,,,,,,
4,,,,,,
3264,,,,,,
2855,,,,,,
184,,,,,,
59,,,,,,
38,,,,,,
26,,,,,,
20,,,,,,
18,,,,,,
11,,,,,,
433,,,,,,
138,,,,,,
7,,,,,,
5,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
577,,,,,,
135,,,,,,
10,,,,,,
5,,,,,,
5,,,,,,
4,,,,,,
3,,,,,,
0,,,,,,
0,,,,,,
409,,,,,,
98,,,,,,
12,,,,,,
10,,,,,,
9,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
1,,,,,,
1542,,,,,,
625,,,,,,
25,,,,,,
11,,,,,,
10,,,,,,
9,,,,,,
7,,,,,,
5,,,,,,
2,,,,,,
393,,,,,,
106,,,,,,
12,,,,,,
9,,,,,,
7,,,,,,
5,,,,,,
3,,,,,,
1,,,,,,
0,,,,,,
604,,,,,,
203,,,,,,
11,,,,,,
9,,,,,,
8,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
189,,,,,,
127,,,,,,
5,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
360,,,,,,
75,,,,,,
12,,,,,,
11,,,,,,
11,,,,,,
5,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
59,,,,,,
6,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
695,,,,,,
181,,,,,,
9,,,,,,
6,,,,,,
5,,,,,,
5,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
10600,,,,,,
10548,,,,,,
177,,,,,,
91,,,,,,
87,,,,,,
83,,,,,,
56,,,,,,
47,,,,,,
32,,,,,,
658,,,,,,
202,,,,,,
5,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
0,,,,,,
663,,,,,,
436,,,,,,
10,,,,,,
8,,,,,,
5,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
1582,,,,,,
540,,,,,,
16,,,,,,
10,,,,,,
10,,,,,,
9,,,,,,
7,,,,,,
6,,,,,,
4,,,,,,
375,,,,,,
84,,,,,,
15,,,,,,
7,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
817,,,,,,
195,,,,,,
22,,,,,,
12,,,,,,
10,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
1584,,,,,,
411,,,,,,
44,,,,,,
26,,,,,,
23,,,,,,
16,,,,,,
12,,,,,,
7,,,,,,
6,,,,,,
565,,,,,,
177,,,,,,
17,,,,,,
9,,,,,,
7,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
376,,,,,,
105,,,,,,
14,,,,,,
12,,,,,,
7,,,,,,
4,,,,,,
3,,,,,,
2,,,,,,
1,,,,,,
1979,,,,,,
838,,,,,,
14,,,,,,
5,,,,,,
4,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
552,,,,,,
143,,,,,,
12,,,,,,
10,,,,,,
6,,,,,,
4,,,,,,
2,,,,,,
1,,,,,,
0,,,,,,
1202,,,,,,
428,,,,,,
50,,,,,,
32,,,,,,
15,,,,,,
10,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
632,,,,,,
179,,,,,,
11,,,,,,
7,,,,,,
7,,,,,,
3,,,,,,
3,,,,,,
2,,,,,,
0,,,,,,
1143,,,,,,
235,,,,,,
29,,,,,,
11,,,,,,
8,,,,,,
6,,,,,,
